HR-Employee-Attrition-完美中文版,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年齡,流失,出差頻率,日薪,部門,家住距離,教育程度,教育領域,員工數,員工編號,環境滿意度,性別,小時薪資,工作投入度,職級,職位角色,工作滿意度,婚姻狀態,月薪,月費率,曾工作公司數,超過18歲,加班,加薪百分比,績效評級,關係滿意度,標準工時,股票選擇權等級,總工作年資,去年訓練次數,工作生活平衡,在公司年資,目前角色年資,上次升遷年資,目前主管年資
52,是,偶爾出差,723,研發部,8,4,醫學,1,433,3,男性,85,2,2,研究科學家,2,已婚,4941,17747,2,是,否,15,3,1,80,0,11,3,2,8,2,7,7
27,否,偶爾出差,1220,研發部,5,3,生命科學,1,434,3,女性,85,3,1,研究科學家,2,單身,2478,20938,1,是,是,12,3,2,80,0,4,2,2,4,3,1,2
32,否,偶爾出差,588,銷售部,8,2,技術學位,1,436,3,女性,65,2,2,銷售執行,2,已婚,5228,24624,1,是,是,11,3,4,80,0,13,2,3,13,12,11,9
27,否,偶爾出差,1377,銷售部,2,3,生命科學,1,437,4,男性,74,3,2,銷售執行,3,單身,4478,5242,1,是,是,11,3,1,80,0,5,3,3,5,4,0,4
31,否,偶爾出差,691,銷售部,7,3,行銷,1,438,4,男性,73,3,2,銷售執行,4,離婚,7547,7143,4,是,否,12,3,4,80,3,13,3,3,7,7,1,7
32,否,偶爾出差,1018,研發部,2,4,醫學,1,439,1,女性,74,4,2,研究科學家,4,單身,5055,10557,7,是,否,16,3,3,80,0,10,0,2,7,7,0,7
28,是,偶爾出差,1157,研發部,2,4,醫學,1,440,1,男性,84,1,1,研究科學家,4,已婚,3464,24737,5,是,是,13,3,4,80,0,5,4,2,3,2,2,2
30,否,偶爾出差,1275,研發部,28,2,醫學,1,441,4,女性,64,3,2,研究科學家,4,已婚,5775,11934,1,是,否,13,3,4,80,2,11,2,3,10,8,1,9
31,否,頻繁出差,798,研發部,7,2,生命科學,1,442,3,女性,48,2,3,製造總監,3,已婚,8943,14034,1,是,否,24,4,1,80,1,10,2,3,10,9,8,9
39,否,頻繁出差,672,研發部,7,2,醫學,1,444,3,男性,54,2,5,經理,4,已婚,19272,21141,1,是,否,15,3,1,80,1,21,2,3,21,9,13,3
39,是,偶爾出差,1162,銷售部,3,2,醫學,1,445,4,女性,41,3,2,銷售執行,3,已婚,5238,17778,4,是,是,18,3,1,80,0,12,3,2,1,0,0,0
33,否,頻繁出差,508,銷售部,10,3,行銷,1,446,2,男性,46,2,2,銷售執行,4,單身,4682,4317,3,是,否,14,3,3,80,0,9,6,2,7,7,0,1
47,否,偶爾出差,1482,研發部,5,5,生命科學,1,447,4,男性,42,3,5,研究總監,3,已婚,18300,16375,4,是,否,11,3,2,80,1,21,2,3,3,2,1,1
43,否,頻繁出差,559,研發部,10,4,生命科學,1,448,3,女性,82,2,2,實驗室技術員,3,離婚,5257,6227,1,是,否,11,3,2,80,1,9,3,4,9,7,0,0
27,否,不出差,210,銷售部,1,1,行銷,1,449,3,男性,73,3,2,銷售執行,2,已婚,6349,22107,0,是,是,13,3,4,80,1,6,0,3,5,4,1,4
54,否,頻繁出差,928,研發部,20,4,生命科學,1,450,4,女性,31,3,2,研究科學家,3,單身,4869,16885,3,是,否,12,3,4,80,0,20,4,2,4,3,0,3
43,否,偶爾出差,1001,研發部,7,3,生命科學,1,451,3,女性,43,3,3,醫療代表,1,已婚,9985,9262,8,是,否,16,3,1,80,1,10,1,2,1,0,0,0
45,否,偶爾出差,549,研發部,8,4,其他,1,452,4,男性,75,3,2,研究科學家,4,已婚,3697,9278,9,是,否,14,3,1,80,2,12,3,3,10,9,9,8
40,否,偶爾出差,1124,銷售部,1,2,醫學,1,453,2,男性,57,1,2,銷售執行,4,已婚,7457,13273,2,是,是,22,4,3,80,3,6,2,2,4,3,0,2
29,是,偶爾出差,318,研發部,8,4,其他,1,454,2,男性,77,1,1,實驗室技術員,1,已婚,2119,4759,1,是,是,11,3,4,80,0,7,4,2,7,7,0,7
29,否,偶爾出差,738,研發部,9,5,其他,1,455,2,男性,30,2,1,實驗室技術員,4,單身,3983,7621,0,是,否,17,3,3,80,0,4,2,3,3,2,2,2
30,否,偶爾出差,570,銷售部,5,3,行銷,1,456,4,女性,30,2,2,銷售執行,3,離婚,6118,5431,1,是,否,13,3,3,80,3,10,2,3,10,9,1,2
27,否,偶爾出差,1130,銷售部,8,4,行銷,1,458,2,女性,56,3,2,銷售執行,2,已婚,6214,3415,1,是,否,18,3,1,80,1,8,3,3,8,7,0,7
37,否,偶爾出差,1192,研發部,5,2,醫學,1,460,4,男性,61,3,2,製造總監,4,離婚,6347,23177,7,是,否,16,3,3,80,2,8,2,2,6,2,0,4
38,否,偶爾出差,343,研發部,15,2,生命科學,1,461,3,男性,92,2,3,研究總監,4,離婚,11510,15682,0,是,是,14,3,2,80,1,12,3,3,11,10,2,9
31,否,偶爾出差,1232,研發部,7,4,醫學,1,462,3,女性,39,3,3,製造總監,4,單身,7143,25713,1,是,是,14,3,3,80,0,11,2,2,11,9,4,10
29,否,偶爾出差,144,銷售部,10,1,行銷,1,463,4,女性,39,2,2,銷售執行,2,離婚,8268,11866,1,是,是,14,3,1,80,2,7,2,3,7,7,1,7
35,否,偶爾出差,1296,研發部,5,4,技術學位,1,464,3,男性,62,3,3,製造總監,2,單身,8095,18264,0,是,否,13,3,4,80,0,17,5,3,16,6,0,13
23,否,偶爾出差,1309,研發部,26,1,生命科學,1,465,3,男性,83,3,1,研究科學家,4,離婚,2904,16092,1,是,否,12,3,3,80,2,4,2,2,4,2,0,2
41,否,偶爾出差,483,研發部,6,3,醫學,1,466,4,男性,95,2,2,製造總監,2,單身,6032,10110,6,是,是,15,3,4,80,0,8,3,3,5,4,1,2
47,否,頻繁出差,1309,銷售部,4,1,醫學,1,467,2,男性,99,3,2,銷售代表,3,單身,2976,25751,3,是,否,19,3,1,80,0,5,3,3,0,0,0,0
42,否,偶爾出差,810,研發部,23,5,生命科學,1,468,1,女性,44,3,4,研究總監,4,單身,15992,15901,2,是,否,14,3,2,80,0,16,2,3,1,0,0,0
29,否,不出差,746,銷售部,2,3,生命科學,1,469,4,男性,61,3,2,銷售執行,3,已婚,4649,16928,1,是,否,14,3,1,80,1,4,3,2,4,3,0,2
42,否,偶爾出差,544,人力資源專員,2,1,技術學位,1,470,3,男性,52,3,1,人力資源專員,3,離婚,2696,24017,0,是,是,11,3,3,80,1,4,5,3,3,2,1,0
32,否,偶爾出差,1062,研發部,2,3,醫學,1,471,3,女性,75,3,1,實驗室技術員,2,已婚,2370,3956,1,是,否,13,3,3,80,1,8,4,3,8,0,0,7
48,否,偶爾出差,530,銷售部,29,1,醫學,1,473,1,女性,91,3,3,經理,3,已婚,12504,23978,3,是,否,21,4,2,80,1,15,3,1,0,0,0,0
37,否,偶爾出差,1319,研發部,6,3,醫學,1,474,3,男性,51,4,2,研究科學家,1,離婚,5974,17001,4,是,是,13,3,1,80,2,13,2,3,7,7,6,7
30,否,不出差,641,銷售部,25,2,技術學位,1,475,4,女性,85,3,2,銷售執行,3,已婚,4736,6069,7,是,是,12,3,2,80,1,4,2,4,2,2,2,2
26,否,偶爾出差,933,銷售部,1,3,生命科學,1,476,3,男性,57,3,2,銷售執行,3,已婚,5296,20156,1,是,否,17,3,2,80,1,8,3,3,8,7,7,7
42,否,偶爾出差,1332,研發部,2,4,其他,1,477,1,男性,98,2,2,醫療代表,4,單身,6781,17078,3,是,否,23,4,2,80,0,14,6,3,1,0,0,0
21,是,頻繁出差,756,銷售部,1,1,技術學位,1,478,1,女性,99,2,1,銷售代表,2,單身,2174,9150,1,是,是,11,3,3,80,0,3,3,3,3,2,1,2
36,否,不出差,845,銷售部,1,5,醫學,1,479,4,女性,45,3,2,銷售執行,4,單身,6653,15276,4,是,否,15,3,2,80,0,7,6,3,1,0,0,0
36,否,頻繁出差,541,銷售部,3,4,醫學,1,481,1,男性,48,2,3,銷售執行,4,已婚,9699,7246,4,是,否,11,3,1,80,1,16,2,3,13,9,1,12
57,否,偶爾出差,593,研發部,1,4,醫學,1,482,4,男性,88,3,2,醫療代表,3,已婚,6755,2967,2,是,否,11,3,3,80,0,15,2,3,3,2,1,2
40,否,偶爾出差,1171,研發部,10,4,生命科學,1,483,4,女性,46,4,1,實驗室技術員,3,已婚,2213,22495,3,是,是,13,3,3,80,1,10,3,3,7,7,1,7
21,否,不出差,895,銷售部,9,2,醫學,1,484,1,男性,39,3,1,銷售代表,4,單身,2610,2851,1,是,否,24,4,3,80,0,3,3,2,3,2,2,2
33,是,偶爾出差,350,銷售部,5,3,行銷,1,485,4,女性,34,3,1,銷售代表,3,單身,2851,9150,1,是,是,13,3,2,80,0,1,2,3,1,0,0,0
37,否,偶爾出差,921,研發部,10,3,醫學,1,486,3,女性,98,3,1,實驗室技術員,1,已婚,3452,17663,6,是,否,20,4,2,80,1,17,3,3,5,4,0,3
46,否,不出差,1144,研發部,7,4,醫學,1,487,3,女性,30,3,2,製造總監,3,已婚,5258,16044,2,是,否,14,3,3,80,0,7,2,4,1,0,0,0
41,是,頻繁出差,143,銷售部,4,3,行銷,1,488,1,男性,56,3,2,銷售執行,2,單身,9355,9558,1,是,否,18,3,3,80,0,8,5,3,8,7,7,7
50,否,偶爾出差,1046,研發部,10,3,技術學位,1,491,4,男性,100,2,3,醫療代表,4,單身,10496,2755,6,是,否,15,3,4,80,0,20,2,3,4,3,1,3
40,是,偶爾出差,575,銷售部,22,2,行銷,1,492,3,男性,68,2,2,銷售執行,3,已婚,6380,6110,2,是,是,12,3,1,80,2,8,6,3,6,4,1,0
31,否,偶爾出差,408,研發部,9,4,生命科學,1,493,3,男性,42,2,1,研究科學家,2,單身,2657,7551,0,是,是,16,3,4,80,0,3,5,3,2,2,2,2
21,是,偶爾出差,156,銷售部,12,3,生命科學,1,494,3,女性,90,4,1,銷售代表,2,單身,2716,25422,1,是,否,15,3,4,80,0,1,0,3,1,0,0,0
29,否,偶爾出差,1283,研發部,23,3,生命科學,1,495,4,男性,54,3,1,研究科學家,4,單身,2201,18168,9,是,否,16,3,4,80,0,6,4,3,3,2,1,2
35,否,偶爾出差,755,研發部,9,4,生命科學,1,496,3,男性,97,2,2,醫療代表,2,單身,6540,19394,9,是,否,19,3,3,80,0,10,5,3,1,1,0,0
27,否,偶爾出差,1469,研發部,1,2,醫學,1,497,4,男性,82,3,1,實驗室技術員,2,離婚,3816,17881,1,是,否,11,3,2,80,1,5,2,3,5,2,0,4
28,否,偶爾出差,304,銷售部,9,4,生命科學,1,498,2,男性,92,3,2,銷售執行,4,單身,5253,20750,1,是,否,16,3,4,80,0,7,1,3,7,5,0,7
49,否,偶爾出差,1261,研發部,7,3,其他,1,499,2,男性,31,2,3,醫療代表,3,單身,10965,12066,8,是,否,24,4,3,80,0,26,2,3,5,2,0,0
51,否,偶爾出差,1178,銷售部,14,2,生命科學,1,500,3,女性,87,3,2,銷售執行,4,已婚,4936,14862,4,是,否,11,3,3,80,1,18,2,2,7,7,0,7
36,否,偶爾出差,329,研發部,2,3,生命科學,1,501,4,女性,96,3,1,研究科學家,3,已婚,2543,11868,4,是,否,13,3,2,80,1,6,3,3,2,2,2,2
34,是,不出差,1362,銷售部,19,3,行銷,1,502,1,男性,67,4,2,銷售執行,4,單身,5304,4652,8,是,是,13,3,2,80,0,9,3,2,5,2,0,4
55,否,偶爾出差,1311,研發部,2,3,生命科學,1,505,3,女性,97,3,4,經理,4,單身,16659,23258,2,是,是,13,3,3,80,0,30,2,3,5,4,1,2
24,否,偶爾出差,1371,銷售部,10,4,行銷,1,507,4,女性,77,3,2,銷售執行,3,離婚,4260,5915,1,是,是,12,3,4,80,1,5,2,4,5,2,0,3
30,否,偶爾出差,202,銷售部,2,1,技術學位,1,508,3,男性,72,3,1,銷售代表,2,已婚,2476,17434,1,是,否,18,3,1,80,1,1,3,3,1,0,0,0
26,是,頻繁出差,575,研發部,3,1,技術學位,1,510,3,男性,73,3,1,研究科學家,1,單身,3102,6582,0,是,否,22,4,3,80,0,7,2,3,6,4,0,4
22,否,偶爾出差,253,研發部,11,3,醫學,1,511,1,女性,43,3,1,研究科學家,2,已婚,2244,24440,1,是,否,13,3,4,80,1,2,1,3,2,1,1,2
36,否,偶爾出差,164,銷售部,2,2,醫學,1,513,2,男性,61,2,3,銷售執行,3,已婚,7596,3809,1,是,否,13,3,2,80,2,10,2,3,10,9,9,0
30,是,頻繁出差,464,研發部,4,3,技術學位,1,514,3,男性,40,3,1,研究科學家,4,單身,2285,3427,9,是,是,23,4,3,80,0,3,4,3,1,0,0,0
37,否,偶爾出差,1107,研發部,14,3,生命科學,1,515,4,女性,95,3,1,實驗室技術員,1,離婚,3034,26914,1,是,否,12,3,3,80,1,18,2,2,18,7,12,17
40,否,偶爾出差,759,銷售部,2,2,行銷,1,516,4,女性,46,3,2,銷售執行,2,離婚,5715,22553,7,是,否,12,3,3,80,2,8,5,3,5,4,1,3
42,否,偶爾出差,201,研發部,1,4,生命科學,1,517,2,女性,95,3,1,實驗室技術員,1,離婚,2576,20490,3,是,否,16,3,2,80,1,8,5,3,5,2,1,2
37,否,偶爾出差,1305,研發部,10,4,生命科學,1,518,3,男性,49,3,2,製造總監,2,單身,4197,21123,2,是,是,12,3,4,80,0,18,2,2,1,0,0,1
43,否,偶爾出差,982,研發部,12,3,生命科學,1,520,1,男性,59,2,4,研究總監,2,離婚,14336,4345,1,是,否,11,3,3,80,1,25,3,3,25,10,3,9
40,否,偶爾出差,555,研發部,2,3,醫學,1,521,2,女性,78,2,2,實驗室技術員,3,已婚,3448,13436,6,是,否,22,4,2,80,1,20,3,3,1,0,0,0
54,否,偶爾出差,821,研發部,5,2,醫學,1,522,1,男性,86,3,5,研究總監,1,已婚,19406,8509,4,是,否,11,3,3,80,1,24,4,2,4,2,1,2
34,否,不出差,1381,銷售部,4,4,行銷,1,523,3,女性,72,3,2,銷售執行,3,已婚,6538,12740,9,是,否,15,3,1,80,1,6,3,3,3,2,1,2
31,否,偶爾出差,480,研發部,7,2,醫學,1,524,2,女性,31,3,2,製造總監,1,已婚,4306,4156,1,是,否,12,3,2,80,1,13,5,1,13,10,3,12
43,否,頻繁出差,313,研發部,21,3,醫學,1,525,4,男性,61,3,1,實驗室技術員,4,已婚,2258,15238,7,是,否,20,4,1,80,1,8,1,3,3,2,1,2
43,否,偶爾出差,1473,研發部,8,4,其他,1,526,3,女性,74,3,2,醫療代表,3,離婚,4522,2227,4,是,是,14,3,4,80,0,8,3,3,5,2,0,2
25,否,偶爾出差,891,銷售部,4,2,生命科學,1,527,2,女性,99,2,2,銷售執行,4,單身,4487,12090,1,是,是,11,3,2,80,0,5,3,3,5,4,1,3
37,否,不出差,1063,研發部,25,5,醫學,1,529,2,女性,72,3,2,研究科學家,3,已婚,4449,23866,3,是,是,15,3,1,80,2,15,2,3,13,11,10,7
31,否,偶爾出差,329,研發部,1,2,生命科學,1,530,4,男性,98,2,1,實驗室技術員,1,已婚,2218,16193,1,是,否,12,3,3,80,1,4,3,3,4,2,3,2
39,否,頻繁出差,1218,研發部,1,1,生命科學,1,531,2,男性,52,3,5,經理,3,離婚,19197,8213,1,是,是,14,3,3,80,1,21,3,3,21,8,1,6
56,否,頻繁出差,906,銷售部,6,3,生命科學,1,532,3,女性,86,4,4,銷售執行,1,已婚,13212,18256,9,是,否,11,3,4,80,3,36,0,2,7,7,7,7
30,否,偶爾出差,1082,銷售部,12,3,技術學位,1,533,2,女性,83,3,2,銷售執行,3,單身,6577,19558,0,是,否,11,3,2,80,0,6,6,3,5,4,4,4
41,否,偶爾出差,645,銷售部,1,3,行銷,1,534,2,男性,49,4,3,銷售執行,1,已婚,8392,19566,1,是,否,16,3,3,80,1,10,2,3,10,7,0,7
28,否,偶爾出差,1300,研發部,17,2,醫學,1,536,3,男性,79,3,2,實驗室技術員,1,離婚,4558,13535,1,是,否,12,3,4,80,1,10,2,3,10,0,1,8
25,是,偶爾出差,688,研發部,3,3,醫學,1,538,1,男性,91,3,1,實驗室技術員,1,已婚,4031,9396,5,是,否,13,3,3,80,1,6,5,3,2,2,0,2
52,否,偶爾出差,319,研發部,3,3,醫學,1,543,4,男性,39,2,3,製造總監,3,已婚,7969,19609,2,是,是,14,3,3,80,0,28,4,3,5,4,0,4
45,否,偶爾出差,192,研發部,10,2,生命科學,1,544,1,男性,69,3,1,研究科學家,4,已婚,2654,9655,3,是,否,21,4,4,80,2,8,3,2,2,2,0,2
52,否,偶爾出差,1490,研發部,4,2,生命科學,1,546,4,女性,30,3,4,經理,4,已婚,16555,10310,2,是,否,13,3,4,80,0,31,2,1,5,2,1,4
42,否,頻繁出差,532,研發部,29,2,生命科學,1,547,1,女性,92,3,2,研究科學家,3,離婚,4556,12932,2,是,否,11,3,2,80,1,19,3,3,5,4,0,2
30,否,偶爾出差,317,研發部,2,3,生命科學,1,548,3,女性,43,1,2,製造總監,4,單身,6091,24793,2,是,否,20,4,3,80,0,11,2,3,5,4,0,2
60,否,偶爾出差,422,研發部,7,3,生命科學,1,549,1,女性,41,3,5,經理,1,已婚,19566,3854,5,是,否,11,3,4,80,0,33,5,1,29,8,11,10
46,否,偶爾出差,1485,研發部,18,3,醫學,1,550,3,女性,87,3,2,製造總監,3,離婚,4810,26314,2,是,否,14,3,3,80,1,19,5,2,10,7,0,8
42,否,頻繁出差,1368,研發部,28,4,技術學位,1,551,4,女性,88,2,2,醫療代表,4,已婚,4523,4386,0,是,否,11,3,4,80,3,7,4,4,6,5,0,4
24,是,偶爾出差,1448,銷售部,1,1,技術學位,1,554,1,女性,62,3,1,銷售代表,2,單身,3202,21972,1,是,是,16,3,2,80,0,6,4,3,5,3,1,4
34,是,頻繁出差,296,銷售部,6,2,行銷,1,555,4,女性,33,1,1,銷售代表,3,離婚,2351,12253,0,是,否,16,3,4,80,1,3,3,2,2,2,1,0
38,否,頻繁出差,1490,研發部,2,2,生命科學,1,556,4,男性,42,3,1,實驗室技術員,4,已婚,1702,12106,1,是,是,23,4,3,80,1,1,3,3,1,0,0,0
40,否,偶爾出差,1398,銷售部,2,4,生命科學,1,558,3,女性,79,3,5,經理,3,已婚,18041,13022,0,是,否,14,3,4,80,0,21,2,3,20,15,1,12
26,否,偶爾出差,1349,研發部,23,3,生命科學,1,560,1,女性,90,3,1,研究科學家,4,離婚,2886,3032,1,是,否,22,4,2,80,2,3,3,1,3,2,0,2
30,否,不出差,1400,研發部,3,3,生命科學,1,562,3,男性,53,3,1,實驗室技術員,4,已婚,2097,16734,4,是,否,15,3,3,80,1,9,3,1,5,3,1,4
29,否,偶爾出差,986,研發部,3,4,醫學,1,564,2,男性,93,2,3,研究總監,3,已婚,11935,21526,1,是,否,18,3,3,80,0,10,2,3,10,2,0,7
29,是,偶爾出差,408,研發部,25,5,技術學位,1,565,3,女性,71,2,1,研究科學家,2,已婚,2546,18300,5,是,否,16,3,2,80,0,6,2,4,2,2,1,1
19,是,偶爾出差,489,人力資源專員,2,2,技術學位,1,566,1,男性,52,2,1,人力資源專員,4,單身,2564,18437,1,是,否,12,3,3,80,0,1,3,4,1,0,0,0
30,否,不出差,1398,銷售部,22,4,其他,1,567,3,女性,69,3,3,銷售執行,1,已婚,8412,2890,0,是,否,11,3,3,80,0,10,3,3,9,8,7,8
57,否,偶爾出差,210,銷售部,29,3,行銷,1,568,1,男性,56,2,4,經理,4,離婚,14118,22102,3,是,否,12,3,3,80,1,32,3,2,1,0,0,0
50,否,偶爾出差,1099,研發部,29,4,生命科學,1,569,2,男性,88,2,4,經理,3,已婚,17046,9314,0,是,否,15,3,2,80,1,28,2,3,27,10,15,7
30,否,不出差,1116,研發部,2,3,醫學,1,571,3,女性,49,3,1,實驗室技術員,4,單身,2564,7181,0,是,否,14,3,3,80,0,12,2,2,11,7,6,7
60,否,頻繁出差,1499,銷售部,28,3,行銷,1,573,3,女性,80,2,3,銷售執行,1,已婚,10266,2845,4,是,否,19,3,4,80,0,22,5,4,18,13,13,11
47,否,偶爾出差,983,研發部,2,2,醫學,1,574,1,女性,65,3,2,製造總監,4,離婚,5070,7389,5,是,否,13,3,3,80,3,20,2,3,5,0,0,4
46,否,偶爾出差,1009,研發部,2,3,生命科學,1,575,1,男性,51,3,4,研究總監,3,已婚,17861,2288,6,是,否,13,3,3,80,0,26,2,1,3,2,0,1
35,否,偶爾出差,144,研發部,22,3,生命科學,1,577,4,男性,46,1,1,實驗室技術員,3,單身,4230,19225,0,是,否,15,3,3,80,0,6,2,3,5,4,4,3
54,否,偶爾出差,548,研發部,8,4,生命科學,1,578,3,女性,42,3,2,實驗室技術員,3,單身,3780,23428,7,是,否,11,3,3,80,0,19,3,3,1,0,0,0
34,否,偶爾出差,1303,研發部,2,4,生命科學,1,579,4,男性,62,2,1,研究科學家,3,離婚,2768,8416,3,是,否,12,3,3,80,1,14,3,3,7,3,5,7
46,否,偶爾出差,1125,銷售部,10,3,行銷,1,580,3,女性,94,2,3,銷售執行,4,已婚,9071,11563,2,是,是,19,3,3,80,1,15,3,3,3,2,1,2
31,否,偶爾出差,1274,研發部,9,1,生命科學,1,581,3,男性,33,3,3,製造總監,2,離婚,10648,14394,1,是,否,25,4,4,80,1,13,6,4,13,8,0,8
33,是,偶爾出差,1277,研發部,15,1,醫學,1,582,2,男性,56,3,3,經理,3,已婚,13610,24619,7,是,是,12,3,4,80,0,15,2,4,7,6,7,7
33,是,偶爾出差,587,研發部,10,1,醫學,1,584,1,男性,38,1,1,實驗室技術員,4,離婚,3408,6705,7,是,否,13,3,1,80,3,8,2,3,4,3,1,3
30,否,偶爾出差,413,銷售部,7,1,行銷,1,585,4,男性,57,3,1,銷售代表,2,單身,2983,18398,0,是,否,14,3,1,80,0,4,3,3,3,2,1,2
35,否,偶爾出差,1276,研發部,16,3,生命科學,1,586,4,男性,72,3,3,醫療代表,3,已婚,7632,14295,4,是,是,12,3,3,80,0,10,2,3,8,7,0,0
31,是,頻繁出差,534,研發部,20,3,生命科學,1,587,1,男性,66,3,3,醫療代表,3,已婚,9824,22908,3,是,否,12,3,1,80,0,12,2,3,1,0,0,0
34,是,頻繁出差,988,人力資源專員,23,3,人力資源專員,1,590,2,女性,43,3,3,人力資源專員,1,離婚,9950,11533,9,是,是,15,3,3,80,3,11,2,3,3,2,0,2
42,否,頻繁出差,1474,研發部,5,2,其他,1,591,2,男性,97,3,1,實驗室技術員,3,已婚,2093,9260,4,是,否,17,3,4,80,1,8,4,3,2,2,2,0
36,否,不出差,635,銷售部,10,4,醫學,1,592,2,男性,32,3,3,銷售執行,4,單身,9980,15318,1,是,否,14,3,4,80,0,10,3,2,10,3,9,7
22,是,頻繁出差,1368,研發部,4,1,技術學位,1,593,3,男性,99,2,1,實驗室技術員,3,單身,3894,9129,5,是,否,16,3,3,80,0,4,3,3,2,2,1,2
48,否,偶爾出差,163,銷售部,2,5,行銷,1,595,2,女性,37,3,2,銷售執行,4,已婚,4051,19658,2,是,否,14,3,1,80,1,14,2,3,9,7,6,7
55,否,偶爾出差,1117,銷售部,18,5,生命科學,1,597,1,女性,83,3,4,經理,2,單身,16835,9873,3,是,否,23,4,4,80,0,37,2,3,10,9,7,7
41,否,不出差,267,銷售部,10,2,生命科學,1,599,4,男性,56,3,2,銷售執行,4,單身,6230,13430,7,是,否,14,3,4,80,0,16,3,3,14,3,1,10
35,否,偶爾出差,619,銷售部,1,3,行銷,1,600,2,男性,85,3,2,銷售執行,3,已婚,4717,18659,9,是,否,11,3,3,80,0,15,2,3,11,9,6,9
40,否,偶爾出差,302,研發部,6,3,生命科學,1,601,2,女性,75,3,4,製造總監,3,單身,13237,20364,7,是,否,15,3,3,80,0,22,3,3,20,6,5,13
39,否,頻繁出差,443,研發部,8,1,生命科學,1,602,3,女性,48,3,1,實驗室技術員,3,已婚,3755,17872,1,是,否,11,3,1,80,1,8,3,3,8,3,0,7
31,否,偶爾出差,828,銷售部,2,1,生命科學,1,604,2,男性,77,3,2,銷售執行,4,單身,6582,8346,4,是,是,13,3,3,80,0,10,2,4,6,5,0,5
42,否,偶爾出差,319,研發部,24,3,醫學,1,605,4,男性,56,3,3,製造總監,1,已婚,7406,6950,1,是,是,21,4,4,80,1,10,5,2,10,9,5,8
45,否,偶爾出差,561,銷售部,2,3,其他,1,606,4,男性,61,3,2,銷售執行,2,已婚,4805,16177,0,是,否,19,3,2,80,1,9,3,4,8,7,3,7
26,是,頻繁出差,426,人力資源專員,17,4,生命科學,1,608,2,女性,58,3,1,人力資源專員,3,離婚,2741,22808,0,是,是,11,3,2,80,1,8,2,2,7,7,1,0
29,否,偶爾出差,232,研發部,19,3,技術學位,1,611,4,男性,34,3,2,製造總監,4,離婚,4262,22645,4,是,否,12,3,2,80,2,8,2,4,3,2,1,2
33,否,偶爾出差,922,研發部,1,5,醫學,1,612,1,女性,95,4,4,研究總監,3,離婚,16184,22578,4,是,否,19,3,3,80,1,10,2,3,6,1,0,5
31,否,偶爾出差,688,銷售部,7,3,生命科學,1,613,3,男性,44,2,3,經理,4,離婚,11557,25291,9,是,否,21,4,3,80,1,10,3,2,5,4,0,1
18,是,頻繁出差,1306,銷售部,5,3,行銷,1,614,2,男性,69,3,1,銷售代表,2,單身,1878,8059,1,是,是,14,3,4,80,0,0,3,3,0,0,0,0
40,否,不出差,1094,銷售部,28,3,其他,1,615,3,男性,58,1,3,銷售執行,1,離婚,10932,11373,3,是,否,15,3,3,80,1,20,2,3,1,0,0,1
41,否,不出差,509,研發部,2,4,其他,1,616,1,女性,62,2,2,醫療代表,3,單身,6811,2112,2,是,是,17,3,1,80,0,10,3,3,8,7,0,7
26,否,偶爾出差,775,銷售部,29,2,醫學,1,618,1,男性,45,3,2,銷售執行,3,離婚,4306,4267,5,是,否,12,3,1,80,2,8,5,3,0,0,0,0
35,否,偶爾出差,195,銷售部,1,3,醫學,1,620,1,女性,80,3,2,銷售執行,3,單身,4859,6698,1,是,否,16,3,4,80,0,5,3,3,5,4,0,3
34,否,偶爾出差,258,銷售部,21,4,生命科學,1,621,4,男性,74,4,2,銷售執行,4,單身,5337,19921,1,是,否,12,3,4,80,0,10,3,3,10,7,5,7
26,是,偶爾出差,471,研發部,24,3,技術學位,1,622,3,男性,66,1,1,實驗室技術員,4,單身,2340,23213,1,是,是,18,3,2,80,0,1,3,1,1,0,0,0
37,否,偶爾出差,799,研發部,1,3,技術學位,1,623,2,女性,59,3,3,製造總監,4,單身,7491,23848,4,是,否,17,3,4,80,0,12,3,4,6,5,1,2
46,否,頻繁出差,1034,研發部,18,1,醫學,1,624,1,女性,86,3,3,醫療代表,3,已婚,10527,8984,5,是,否,11,3,4,80,0,28,3,2,2,2,1,2
41,否,偶爾出差,1276,銷售部,2,5,生命科學,1,625,2,女性,91,3,4,經理,1,已婚,16595,5626,7,是,否,16,3,2,80,1,22,2,3,18,16,11,8
37,否,不出差,142,銷售部,9,4,醫學,1,626,1,男性,69,3,3,銷售執行,2,離婚,8834,24666,1,是,否,13,3,4,80,1,9,6,3,9,5,7,7
52,否,偶爾出差,956,研發部,6,2,技術學位,1,630,4,男性,78,3,2,研究科學家,1,離婚,5577,22087,3,是,是,12,3,2,80,2,18,3,3,10,9,6,9
32,是,不出差,1474,銷售部,11,4,其他,1,631,4,男性,60,4,2,銷售執行,3,已婚,4707,23914,8,是,否,12,3,4,80,0,6,2,3,4,2,1,2
24,否,頻繁出差,535,銷售部,24,3,醫學,1,632,4,男性,38,3,1,銷售代表,4,已婚,2400,5530,0,是,否,13,3,3,80,2,3,3,3,2,2,2,1
38,否,偶爾出差,1495,研發部,10,3,醫學,1,634,3,女性,76,3,2,醫療代表,3,已婚,9824,22174,3,是,否,19,3,3,80,1,18,4,3,1,0,0,0
